matricula(tailNum);agnoFabricacion(planeYear);modelo(model);
N73270;2001;737-824;
N73275;2002;737-824;
N73276;2002;737-824;
N73278;;737-824;
N73283;2004;737-824;
N73291;2004;737-824;
N73299;2005;737-824;
N732SK;2005;CL-600-2C10;
N732SW;1999;737-7H4;
N732US;2000;A319-112;
N733MQ;;;
N733SA;1999;737-7H4;
N733UW;2000;A319-112;
N73406;2001;737-924;
N734SA;1999;737-7H4;
N735SA;1999;737-7H4;
N736SA;1999;737-7H4;
N737JW;1999;737-7H4;
N737US;2000;A319-112;
N738CB;1999;737-7H4;
N738EV;2004;CL-600-2C10;
N738MQ;;;
N738SK;2005;CL-600-2C10;
N738US;2000;A319-112;
N739CA;1998;CL-600-2B19;
N739GB;1998;737-7H4;
N740EV;2004;CL-600-2C10;
N740SK;2005;CL-600-2C10;
N740SW;1998;737-7H4;
N740UW;2000;A319-112;
N741EV;2004;CL-600-2C10;
N741SA;1998;737-7H4;
N741UW;2000;A319-112;
N742PS;2000;A319-112;
N742SK;2005;CL-600-2C10;
N742SW;1998;737-7H4;
N743SK;2005;CL-600-2C10;
N743SW;1998;737-7H4;
N744EV;2004;CL-600-2C10;
N744P;2000;A319-112;
N744SK;2005;CL-600-2C10;
N744SW;1999;737-7H4;
N745SK;2005;CL-600-2C10;
N745SW;1999;737-7H4;
N745VJ;2000;A319-112;
N746JB;;;
N746SK;2005;CL-600-2C10;
N746SW;1999;737-7H4;
N746UW;2000;A319-112;
N747SA;1999;737-7H4;
N747UW;2000;A319-112;
N74856;2004;757-324;
N748EV;2004;CL-600-2C10;
N748SK;2005;CL-600-2C10;
N748SW;1999;737-7H4;
N748UW;2000;A319-112;
N749SW;1999;737-7H4;
N749US;2000;A319-112;
N750AT;1984;757-212;
N750EV;2004;CL-600-2C10;
N750SK;2005;CL-600-2C10;
N750UW;2000;A319-112;
N751AT;1984;757-212;
N751EV;2004;CL-600-2C10;
N751NW;1968;DC-9-41;
N751SK;2005;CL-600-2C10;
N751SW;1999;737-7H4;
N751UW;2000;A319-112;
N752AT;1984;757-212;
N752EV;;CL-600-2C10;
N752NW;1968;DC-9-41;
N752SK;2005;CL-600-2C10;
N752SW;1999;737-7H4;
N752US;2000;A319-112;
N753EV;2004;CL-600-2C10;
N753SK;2005;CL-600-2C10;
N753SW;1999;737-7H4;
N753US;2000;A319-112;
N75410;2001;737-924;
N75425;;;
N75426;;;
N754AS;1992;737-4Q8;
N754EV;2004;CL-600-2C10;
N754SK;2005;CL-600-2C10;
N754SW;1999;737-7H4;
N754UW;2000;A319-112;
N755AS;1992;737-4Q8;
N755EV;;CL-600-2C10;
N755NW;1968;DC-9-41;
N755SA;1999;737-7H4;
N755SK;2005;CL-600-2C10;
N755US;2000;A319-112;
N756AS;1992;737-4Q8;
N756SA;1999;737-7H4;
N756SK;2005;CL-600-2C10;
N756US;2000;A319-112;
N757AT;1984;757-212;
N757LV;1999;737-7H4;
N757UW;2000;A319-112;
N75851;2001;757-324;
N75853;2002;757-324;
N75854;2002;757-324;
N75858;2004;757-324;
N75861;2001;757-33N;
N758EV;2005;CL-600-2C10;
N758SK;2005;CL-600-2C10;
N758SW;1999;737-7H4;
N75987;;CL-600-2B19;
N75991;;CL-600-2B19;
N75992;2000;CL-600-2B19;
N75994;2000;CL-600-2B19;
N75995;1999;CL-600-2B19;
N75996;1999;CL-600-2B19;
N75998;1999;CL-600-2B19;
N759EV;2005;CL-600-2C10;
N759GS;1999;737-7H4;
N759NW;1968;DC-9-41;
N76064;2002;767-424ER;
N76065;2002;767-424ER;
N760EV;2005;CL-600-2C10;
N760NC;1976;DC-9-51;
N760NW;1968;DC-9-41;
N760SK;2005;CL-600-2C10;
N760SW;2000;737-7H4;
N760US;2000;A319-112;
N76151;2000;767-224;
N76153;2000;767-224;
N76156;2001;767-224;
N761ND;;;
N761RR;2000;737-7H4;
N76254;2000;737-824;
N76265;2001;737-824;
N76269;2001;737-824;
N76288;2004;737-824;
N762AS;1992;737-4Q8;
N762NC;1976;DC-9-51;
N762NW;1969;DC-9-41;
N762SK;2005;CL-600-2C10;
N762SW;2000;737-7H4;
N762US;2000;A319-112;
N763AS;1992;737-4Q8;
N763NW;1969;DC-9-41;
N763SK;2005;CL-600-2C10;
N763SW;2000;737-7H4;
N763US;2000;A319-112;
N764AS;1992;737-4Q8;
N764NC;1976;DC-9-51;
N764SK;2005;CL-600-2C10;
N764SW;2000;737-7H4;
N764US;2000;A319-112;
N76502;2006;737-824;
N76503;;737-824;
N76504;2006;737-824;
N76505;;737-824;
N76508;2008;737-824;
N76514;;;
N76515;;;
N76516;;;
N76517;;;
N765AS;1992;737-4Q8;
N765NC;1976;DC-9-51;
N765SK;2005;CL-600-2C10;
N765SW;2000;737-7H4;
N765US;2000;A319-112;
N766NC;1977;DC-9-51;
N766SK;2005;CL-600-2C10;
N766SW;2000;737-7H4;
N766US;2000;A319-112;
N767NC;1977;DC-9-51;
N767SK;2005;CL-600-2C10;
N767SW;;737-7H4;
N767UW;2000;A319-112;
N768AS;1992;737-490;
N768NC;1977;DC-9-51;
N768SK;2005;CL-600-2C10;
N768SW;2000;737-7H4;
N768UA;1995;777-222;
N768US;2000;A319-112;
N769AS;1993;737-4Q8;
N769NC;1978;DC-9-51;
N769SW;2000;737-7H4;
N769US;2000;A319-112;
N77066;2002;767-424ER;
N770NC;1978;DC-9-51;
N770SA;2000;737-7H4;
N770UW;2000;A319-112;
N77181;1997;CL-600-2B19;
N77195;1997;CL-600-2B19;
N771AS;1993;737-4Q8;
N771NC;1978;DC-9-51;
N771SK;2006;CL-600-2C10;
N771UA;1995;777-222;
N77258;2000;737-824;
N77260;1998;CL-600-2B19;
N77261;2001;737-824;
N77278;1998;CL-600-2B19;
N77286;1999;CL-600-2B19;
N77295;2005;737-824;
N77296;2005;737-824;
N772AS;1993;737-4Q8;
N772NC;1978;DC-9-51;
N772SK;2005;CL-600-2C10;
N772SW;2000;737-7H4;
N772UA;1995;777-222;
N77302;1999;CL-600-2B19;
N77303;1985;737-3TO;
N77331;1999;CL-600-2B19;
N773AS;1993;737-4Q8;
N773NC;1978;DC-9-51;
N773SA;2000;737-7H4;
N773SK;2005;CL-600-2C10;
N773UA;1995;777-222;
N774AS;1993;737-4Q8;
N774NC;1978;DC-9-51;
N774SK;2006;CL-600-2C10;
N774SW;2000;737-7H4;
N77510;;737-824;
N775AS;1993;737-4Q8;
N775SW;2000;737-7H4;
N776AS;1994;737-4Q8;
N776NC;1979;DC-9-51;
N776SK;2006;CL-600-2C10;
N776UA;1996;777-222;
N776WN;2000;737-7H4;
N777NC;1979;DC-9-51;
N777QC;2000;737-7H4;
N777UA;1995;777-222;
N77865;2002;757-33N;
N77867;2002;757-33N;
N778AS;1994;737-4Q8;
N778NC;1979;DC-9-51;
N778SK;2006;CL-600-2C10;
N778SW;2000;737-7H4;
N778UA;1996;777-222;
N779AS;1994;737-4Q8;
N779NC;1979;DC-9-51;
N779SW;2000;737-7H4;
N779UA;1996;777-222;
N78004;1998;777-224;
N780NC;1979;DC-9-51;
N780SW;2000;737-7H4;
N780UA;1996;777-222;
N781CA;1999;CL-600-2B19;
N781NC;1979;DC-9-51;
N781WN;2000;737-7H4;
N78285;2004;737-824;
N782NC;1980;DC-9-51;
N782SA;2000;737-7H4;
N782UA;1997;777-222;
N783AS;1994;737-4Q8;
N783NC;1979;DC-9-51;
N783SW;2000;737-7H4;
N783UA;1997;777-222;
N784AS;1996;737-4Q8;
N784NC;1980;DC-9-51;
N784UA;1997;777-222;
N78501;2006;737-824;
N78506;2006;737-824;
N78509;2008;737-824;
N78511;;;
N785AS;1997;737-4Q8;
N785CA;1999;CL-600-2B19;
N785NC;1980;DC-9-51;
N785SW;2000;737-7H4;
N786AS;1990;737-4S3;
N786CA;1999;CL-600-2B19;
N786NC;1980;DC-9-51;
N786SW;2000;737-7H4;
N787NC;1980;DC-9-51;
N787SA;2000;737-7H4;
N78866;2002;757-33N;
N788AS;1997;737-490;
N788SA;2000;737-7H4;
N789SW;2000;737-7H4;
N790SW;2000;737-7H4;
N791AS;1997;737-490;
N791SW;2000;737-7H4;
N791UA;1997;777-222;
N79279;2003;737-824;
N792AS;1997;737-490;
N792SW;2000;737-7H4;
N793AS;1998;737-490;
N793SA;2001;737-7H4;
N794AS;1998;737-490;
N794SW;2001;737-7H4;
N795SW;2001;737-7H4;
N795UA;1997;777-222;
N796AS;1998;737-490;
N796CA;1999;CL-600-2B19;
N796SW;2001;737-7H4;
N796UA;1998;777-222;
N797AS;1998;737-490;
N797CA;1999;CL-600-2B19;
N797MX;2001;737-7H4;
N798CA;1999;CL-600-2B19;
N798SW;1998;737-7AD;
N799AS;1998;737-490;
N799SW;;737-7Q8;
N799UA;1998;777-222;
N7ABAA;;;
N7AGAA;;;
N7AHAA;;;
N7ALAA;;;
N7ARAA;;;
N7BGAA;;;
N7BTAA;;;
N7BUAA;;;
N7CCAA;;;
N800MQ;;;
N800SK;2006;CL600-2D24;
N801AW;1998;A319-132;
N801FR;2003;A318-111;
N801MQ;;;
N801UA;1997;A319-131;
N802AW;1998;A319-132;
N802FR;2003;A318-111;
N802MQ;;;
N802NW;2003;A330-323;
N802SK;2006;CL600-2D24;
N802UA;;;
N803AW;1998;A319-132;
N803FR;2003;A318-111;
N803MQ;;;
N803SK;2006;CL600-2D24;
N803UA;;;
N804AW;1999;A319-132;
N804FR;2003;A318-111;
N804MQ;;;
N804UA;1997;A319-131;
N805AW;1999;A319-132;
N805CA;1999;CL-600-2B19;
N805FR;2004;A318-111;
N805MQ;;;
N805SK;2006;CL600-2D24;
N806AW;1999;A319-132;
N806CA;;CL-600-2B19;
N806FR;2004;A318-111;
N806MQ;;;
N806SK;2006;CL600-2D24;
N806UA;1998;A319-131;
N807AW;1999;A319-132;
N807CA;1999;CL-600-2B19;
N807FR;2004;A318-111;
N807MQ;;;
N807SK;2006;CL600-2D24;
N807UA;1998;A319-131;
N808AW;1999;A319-132;
N808FR;2007;A318-111;
N808MQ;;;
N808NW;2004;A330-323;
N808UA;1998;A319-131;
N809AW;1999;A319-132;
N809CA;2000;CL-600-2B19;
N809FR;2007;A318-111;
N809MQ;;;
N809SK;2006;CL600-2D24;
N809UA;1998;A319-131;
N810AW;1999;A319-132;
N810CA;2000;CL-600-2B19;
N810FR;2007;A318-111;
N810MQ;;;
N810SK;2006;CL600-2D24;
N810UA;1998;A319-131;
N811MQ;;;
N811UA;1998;A319-131;
N812AW;2000;A319-132;
N812CA;2000;CL-600-2B19;
N812FR;2007;A318-111;
N812MQ;;;
N812SK;2006;CL600-2D24;
N812UA;1998;A319-131;
N813AW;2000;A319-132;
N813MQ;;;
N813SK;2006;CL600-2D24;
N813UA;1998;A319-131;
N814AW;2000;A319-132;
N814CA;2000;CL-600-2B19;
N814MQ;;;
N814SK;2006;CL600-2D24;
N814UA;1998;A319-131;
N815AW;2000;A319-132;
N815CA;2000;CL-600-2B19;
N815MQ;;;
N815SK;2006;CL600-2D24;
N815UA;1998;A319-131;
N816AW;2000;A319-132;
N816MQ;;;
N816SK;2006;CL600-2D24;
N816UA;1998;A319-131;
N817AW;2000;A319-132;
N817MQ;;;
N817SK;2006;CL600-2D24;
N817UA;1998;A319-131;
N818AW;2000;A319-132;
N818CA;2000;CL-600-2B19;
N818MQ;;;
N818NW;2007;A330-323;
N818UA;1998;A319-131;
N819AW;2000;A319-132;
N819CA;2000;CL-600-2B19;
N819MQ;;;
N819UA;1998;A319-131;
N820AW;2000;A319-132;
N820MQ;;;
N820SK;2006;CL600-2D24;
N821AS;1997;CL-600-2B19;
N821AW;2000;A319-132;
N821MQ;;;
N821SK;2007;CL600-2D24;
N821UA;1998;A319-131;
N822AW;2000;A319-132;
N822MQ;;;
N822UA;1998;A319-131;
N823AS;1997;CL-600-2B19;
N823AW;2001;A319-132;
N823MQ;;;
N823UA;1998;A319-131;
N824AS;1997;CL-600-2B19;
N824AW;2001;A319-132;
N824MQ;;;
N824UA;1999;A319-131;
N825AS;1997;CL-600-2B19;
N825AW;2001;A319-132;
N825UA;1999;A319-131;
N826AW;;A319-132;
N826MQ;;;
N826UA;1999;A319-131;
N827AS;1997;CL-600-2B19;
N827AW;2001;A319-132;
N827MQ;;;
N827UA;1999;A319-131;
N828AW;;A319-132;
N828MH;2000;767-432ER;
N828MQ;;;
N828UA;1999;A319-131;
N829AS;1998;CL-600-2B19;
N829AW;;A319-132;
N829MH;2000;767-432ER;
N829MQ;;;
N829UA;2000;A319-131;
N830AS;1998;CL-600-2B19;
N830AW;;A319-132;
N830MH;2000;767-432ER;
N830MQ;;;
N830UA;2000;A319-131;
N831AW;2001;A319-132;
N831MH;2000;767-432ER;
N831MQ;;;
N831UA;2000;A319-131;
N832AS;1998;CL-600-2B19;
N832AW;2001;A319-132;
N832MH;2000;767-432ER;
N832MQ;;;
N832UA;2000;A319-131;
N833AS;1998;CL-600-2B19;
N833AW;2002;A319-132;
N833MH;2000;767-432ER;
N833MQ;;;
N833UA;2000;A319-131;
N834AS;1998;CL-600-2B19;
N834AW;;A319-132;
N834MH;2000;767-432ER;
N834MQ;;;
N834UA;2001;A319-131;
N835AS;1998;CL-600-2B19;
N835AW;;A319-132;
N835MQ;;;
N835UA;2001;A319-131;
N836AS;1998;CL-600-2B19;
N836AW;2005;A319-132;
N836MQ;;;
N836UA;2001;A319-131;
N837AS;1998;CL-600-2B19;
N837AW;2005;A319-132;
N837MQ;;;
N837UA;2001;A319-131;
N838AS;1998;CL-600-2B19;
N838AW;2005;A319-132;
N838MH;2001;767-432ER;
N838MQ;;;
N838UA;2001;A319-131;
N839AS;1999;CL-600-2B19;
N839AW;2006;A319-132;
N839MQ;;;
N839UA;2001;A319-131;
N840AS;1999;CL-600-2B19;
N840AW;2006;A319-132;
N840MQ;;;
N840UA;2001;A319-131;
N841AS;1999;CL-600-2B19;
N841MQ;;;
N841UA;2001;A319-131;
N842AS;1999;CL-600-2B19;
N842MQ;;;
N842UA;2001;A319-131;
N843AS;1999;CL-600-2B19;
N843MQ;;;
N843UA;2001;A319-131;
N844AS;1999;CL-600-2B19;
N844MQ;;;
N844UA;2001;A319-131;
N845AS;1999;CL-600-2B19;
N845MQ;;;
N845UA;2001;A319-131;
N846MQ;;;
N846UA;2001;A319-131;
N847AS;1999;CL-600-2B19;
N847MQ;;;
N847UA;2001;A319-131;
N848AS;1999;CL-600-2B19;
N848MQ;;;
N848UA;2002;A319-131;
N849AS;1999;CL-600-2B19;
N849MQ;;;
N849UA;2002;A319-131;
N850AS;1999;CL-600-2B19;
N850MQ;;;
N850UA;2002;A319-131;
N851AS;1999;CL-600-2B19;
N851MQ;;;
N851UA;2002;A319-131;
N852AS;;CL-600-2B19;
N852MQ;;;
N852UA;2002;A319-131;
N853AS;2000;CL-600-2B19;
N853MQ;;;
N853UA;2002;A319-131;
N854MQ;;;
N854UA;2002;A319-131;
N855AS;2000;CL-600-2B19;
N855MQ;;;
N855UA;2002;A319-131;
N856MQ;;;
N857AS;2000;CL-600-2B19;
N857MQ;;;
N858AS;2000;CL-600-2B19;
N858MQ;;;
N859AS;2000;CL-600-2B19;
N860AS;2000;CL-600-2B19;
N861AS;2000;CL-600-2B19;
N862AS;2001;CL-600-2B19;
N863AS;2001;CL-600-2B19;
N864AS;2001;CL-600-2B19;
N865AS;2001;CL-600-2B19;
N866AS;2001;CL-600-2B19;
N867AS;2000;CL-600-2B19;
N868AS;2001;CL-600-2B19;
N868CA;2000;CL-600-2B19;
N869AS;2001;CL-600-2B19;
N870AS;2001;CL-600-2B19;
N872AS;2001;CL-600-2B19;
N87353;1999;CL-600-2B19;
N873AS;2001;CL-600-2B19;
N874AS;2001;CL-600-2B19;
N87507;;737-824;
N87512;;;
N87513;;;
N875AS;2001;CL-600-2B19;
N876AS;2001;CL-600-2B19;
N877AS;2001;CL-600-2B19;
N878AS;2002;CL-600-2B19;
N879AS;2002;CL-600-2B19;
N880AS;2002;CL-600-2B19;
N881AS;2001;CL-600-2B19;
N882AS;2001;CL-600-2B19;
N883AS;2001;CL-600-2B19;
N884AS;2001;CL-600-2B19;
N885AS;2001;CL-600-2B19;
N886AS;2001;CL-600-2B19;
N889AS;2001;CL-600-2B19;
N891AT;2004;717-200;
N8921E;1967;DC-9-31;
N8923E;1967;DC-9-31;
N8925E;1967;DC-9-31;
N8926E;1967;DC-9-31;
N8928E;1967;DC-9-31;
N8929E;1967;DC-9-31;
N892AT;2004;717-200;
N8933E;1967;DC-9-31;
N893AT;2004;717-200;
N8944E;1968;DC-9-31;
N8945E;1968;DC-9-31;
N894AT;2004;717-200;
N895AT;2004;717-200;
N896AT;2005;717-200;
N8978E;1968;DC-9-31;
N8986E;1969;DC-9-31;
N899AT;2005;717-200;
N900DE;1992;MD-88;
N900EV;2002;CL-600-2B19;
N900MQ;;;
N900PC;1997;757-26D;
N900WN;2007;737-7H4;
N901AW;1985;757-2S7;
N901DA;1995;MD-90-30;
N901DE;1992;MD-88;
N901EV;2002;CL-600-2B19;
N901WN;2007;737-7H4;
N902AW;1985;757-2S7;
N902DA;1994;MD-90-30;
N902DE;1992;MD-88;
N902EV;2002;CL-600-2B19;
N902FJ;2003;CL600-2D24;
N902FR;2001;A319-111;
N902MQ;;;
N902WN;2007;737-7H4;
N903AW;1985;757-2S7;
N903DA;1995;MD-90-30;
N903DE;1992;MD-88;
N903EV;2002;CL-600-2B19;
N903FJ;2003;CL600-2D24;
N903SW;2000;CL-600-2B19;
N903WN;;737-7H4;
N904AW;1986;757-2S7;
N904DA;1995;MD-90-30;
N904DE;1992;MD-88;
N904DL;1987;MD-88;
N904EV;2002;CL-600-2B19;
N904FJ;2003;CL600-2D24;
N904FR;2001;A319-111;
N904WN;;737-7H4;
N905DA;1995;MD-90-30;
N905DE;1992;MD-88;
N905EV;2002;CL-600-2B19;
N905FJ;;;
N905FR;2001;A319-111;
N905WN;;737-7H4;
N906AT;2001;717-200;
N906AW;1986;757-2S7;
N906DA;1995;MD-90-30;
N906DE;1992;MD-88;
N906DL;1987;MD-88;
N906EV;;CL-600-2B19;
N906FJ;2003;CL600-2D24;
N906FR;2002;A319-111;
N906SW;2001;CL-600-2B19;
N906WN;;737-7H4;
N907DA;1995;MD-90-30;
N907DE;1992;MD-88;
N907DL;1987;MD-88;
N907EV;;CL-600-2B19;
N907FJ;2003;CL600-2D24;
N907MQ;;;
N907SW;2001;CL-600-2B19;
N907UA;1991;737-522;
N907WN;;737-7H4;
N908AW;1989;757-2G7;
N908DA;1995;MD-90-30;
N908DE;1992;MD-88;
N908DL;1987;MD-88;
N908EV;2002;CL-600-2B19;
N908FJ;2003;CL600-2D24;
N908FR;2002;A319-111;
N908MQ;;;
N908SW;2001;CL-600-2B19;
N908WN;2008;737-7H4;
N909AW;1989;757-2G7;
N909DA;1995;MD-90-30;
N909DE;1992;MD-88;
N909DL;1987;MD-88;
N909EV;2002;CL-600-2B19;
N909FJ;2003;CL600-2D24;
N909MQ;;;
N909SW;2001;CL-600-2B19;
N909WN;2008;737-7H4;
N910AT;2001;717-200;
N910DE;1992;MD-88;
N910DL;1987;MD-88;
N910DN;1995;MD-90-30;
N910EV;2002;CL-600-2B19;
N910FJ;2003;CL600-2D24;
N910FR;2002;A319-112;
N910SW;2001;CL-600-2B19;
N910WN;2008;737-7H4;
N911DA;1995;MD-90-30;
N911DE;1992;MD-88;
N911DL;1987;MD-88;
N911FJ;2003;CL600-2D24;
N912CA;1993;CL-600-2B19;
N912DL;1987;MD-88;
N912DN;1996;MD-90-30;
N912EV;2002;CL-600-2B19;
N912FR;2002;A319-111;
N912SW;2001;CL-600-2B19;
N912UA;1991;737-522;
N912WN;2008;737-7H4;
N913DE;1993;MD-88;
N913DL;1988;MD-88;
N913DN;1996;MD-90-30;
N913EV;2002;CL-600-2B19;
N913FJ;2004;CL600-2D24;
N913FR;2002;A319-112;
N913SW;2001;CL-600-2B19;
N913UA;1991;737-522;
N913WN;2008;737-7H4;
N914CA;1993;CL-600-2B19;
N914DE;1993;MD-88;
N914DL;1988;MD-88;
N914DN;1996;MD-90-30;
N914EV;2003;CL-600-2B19;
N914FJ;2004;CL600-2D24;
N914FR;2002;A319-111;
N914WN;2008;737-7H4;
N915AT;2001;717-200;
N915AW;1984;757-225;
N915CA;1993;CL-600-2B19;
N915DE;1993;MD-88;
N915DL;1988;MD-88;
N915DN;1996;MD-90-30;
N915EV;2003;CL-600-2B19;
N915FJ;;CL600-2D24;
N915FR;2002;A319-112;
N915RW;1967;DC-9-31;
N915SW;;CL-600-2B19;
N915WN;2008;737-7H4;
N916CA;1993;CL-600-2B19;
N916DE;1993;MD-88;
N916DL;1988;MD-88;
N916DN;1996;MD-90-30;
N916FJ;2004;CL600-2D24;
N916FR;2002;A319-112;
N916SW;2002;CL-600-2B19;
N916UW;1982;757-225;
N916WN;2008;737-7H4;
N917CA;1993;CL-600-2B19;
N917DE;1993;MD-88;
N917DL;1988;MD-88;
N917EV;2003;CL-600-2B19;
N917FJ;2004;CL600-2D24;
N917SW;;CL-600-2B19;
N917UW;1982;757-225;
N917WN;;737-7H4;
N918CA;1993;CL-600-2B19;
N918DE;1993;MD-88;
N918DL;1988;MD-88;
N918FJ;2004;CL600-2D24;
N918FR;2003;A319-111;
N918MQ;;;
N918SW;;CL-600-2B19;
N918WN;;737-7H4;
N919AT;2001;717-200;
N919DE;1993;MD-88;
N919DL;1988;MD-88;
N919EV;2003;CL-600-2B19;
N919FJ;2004;CL600-2D24;
N919FR;2003;A319-111;
N919SW;2002;CL-600-2B19;
N919WN;;;
N920AT;2000;717-200;
N920CA;1993;CL-600-2B19;
N920DE;1993;MD-88;
N920DL;1988;MD-88;
N920EV;2003;CL-600-2B19;
N920FJ;2004;CL600-2D24;
N920SW;2002;CL-600-2B19;
N920UW;1983;757-225;
N920WN;;;
N921AT;2000;717-200;
N921DL;1988;MD-88;
N921EV;2003;CL-600-2B19;
N921FJ;2004;CL600-2D24;
N921FR;2003;A319-111;
N921UW;1983;757-225;
N921WN;;;
N9222N;;;
N922AT;2005;717-200;
N922DL;1988;MD-88;
N922EV;2003;CL-600-2B19;
N922FJ;2004;CL600-2D24;
N922FR;2003;A319-111;
N922MQ;;;
N922UA;1991;737-522;
N922UW;1983;757-225;
N923AT;2005;717-200;
N923DL;1988;MD-88;
N923EV;2003;CL-600-2B19;
N923FJ;2004;CL600-2D24;
N923FR;2003;A319-111;
N923MQ;;;
N923RW;1968;DC-9-31;
N923SW;2002;CL-600-2B19;
N923UA;1992;737-522;
N923UW;1983;757-225;
N923WN;;;
N924AT;2000;717-200;
N924CA;1993;CL-600-2B19;
N924DL;1988;MD-88;
N924EV;2003;CL-600-2B19;
N924FJ;2004;CL600-2D24;
N924FR;2003;A319-111;
N924SW;2002;CL-600-2B19;
N924UA;1992;737-522;
N924UW;1983;757-225;
N924WN;;;
N925AT;2000;717-200;
N925DL;1988;MD-88;
N925EV;2003;CL-600-2B19;
N925FJ;2004;CL600-2D24;
N925FR;2004;A319-111;
N925MQ;;;
N925SW;2002;CL-600-2B19;
N925UA;1992;737-522;
N925US;;DC-9-32;
N925UW;1983;757-225;
N925WN;;;
N926AT;2000;717-200;
N926CA;1993;CL-600-2B19;
N926DL;1988;MD-88;
N926EV;2003;CL-600-2B19;
N926FR;2004;A319-111;
N926LR;2004;CL600-2D24;
N926NW;1970;DC-9-32;
N926SW;2002;CL-600-2B19;
N926WN;;;
N927AT;;717-200;
N927CA;1993;CL-600-2B19;
N927DA;1988;MD-88;
N927EV;2003;CL-600-2B19;
N927FR;2004;A319-111;
N927SW;2002;CL-600-2B19;
N927UA;1992;737-522;
N927UW;1993;757-2B7;
N927WN;;;
N928AT;2000;717-200;
N928DL;1988;MD-88;
N928EV;2004;CL-600-2B19;
N928FR;2004;A319-111;
N928LR;2005;CL600-2D24;
N928MQ;;;
N928SW;2002;CL-600-2B19;
N928UA;1992;737-522;
N928WN;;;
N929AT;2000;717-200;
N929CA;1993;CL-600-2B19;
N929EV;2004;CL-600-2B19;
N929FR;2004;A319-111;
N929LR;2005;CL600-2D24;
N929SW;2002;CL-600-2B19;
N929UA;1992;737-522;
N929UW;1993;757-2B7;
N929WN;;;
N930AT;2000;717-200;
N930DL;1988;MD-88;
N930EV;;CL-600-2B19;
N930FR;2004;A319-111;
N930LR;2005;CL600-2D24;
N930SW;2002;CL-600-2B19;
N930UA;1992;737-522;
N931CA;1994;CL-600-2B19;
N931DL;1988;MD-88;
N931EV;2005;CL-600-2B19;
N931FR;2004;A319-111;
N931LR;2005;CL600-2D24;
N931MQ;;;
N932AT;2000;717-200;
N932CA;1994;CL-600-2B19;
N932DL;1989;MD-88;
N932EV;2005;CL-600-2B19;
N932LR;2005;CL600-2D24;
N932MQ;;;
N932SW;2002;CL-600-2B19;
N932UA;1992;737-522;
N932UW;1993;757-2B7;
N9333;1968;DC-9-31;
N9338;1969;DC-9-31;
N933AT;2000;717-200;
N933DL;1989;MD-88;
N933EV;2005;CL-600-2B19;
N933FR;2004;A319-111;
N933LR;2005;CL600-2D24;
N933MQ;;;
N933UA;1992;737-522;
N933UW;1993;757-2B7;
N934AT;2000;717-200;
N934DL;1989;MD-88;
N934EV;2005;CL-600-2B19;
N934FJ;2005;CL600-2D24;
N934FR;2004;A319-111;
N934UA;1992;737-522;
N934UW;1993;757-2B7;
N935AT;2000;717-200;
N935DL;1989;MD-88;
N935EV;2005;CL-600-2B19;
N935FR;2004;A319-111;
N935LR;2005;CL600-2D24;
N935MQ;;;
N935SW;2002;CL-600-2B19;
N935UA;1992;737-522;
N935UW;1994;757-2B7;
N936AT;1999;717-200;
N936CA;1994;CL-600-2B19;
N936DL;1989;MD-88;
N936EV;2005;CL-600-2B19;
N936FR;2005;A319-111;
N936SW;2002;CL-600-2B19;
N936UA;1992;737-522;
N936UW;1994;757-2B7;
N937AT;2001;717-200;
N937CA;1994;CL-600-2B19;
N937DL;1989;MD-88;
N937EV;2005;CL-600-2B19;
N937FR;2005;A319-111;
N937SW;2003;CL-600-2B19;
N937UA;1992;737-522;
N937UW;1994;757-2B7;
N938AT;;717-200;
N938CA;1994;CL-600-2B19;
N938DL;1989;MD-88;
N938FR;2005;A319-111;
N938LR;2005;CL600-2D24;
N938SW;2003;CL-600-2B19;
N938UA;1992;737-522;
N938UW;1994;757-2B7;
N939AT;;717-200;
N939DL;1989;MD-88;
N939FR;2005;A319-111;
N939LR;2005;CL600-2D24;
N939MQ;;;
N939SW;2003;CL-600-2B19;
N939UW;1994;757-2B7;
N940AT;1999;717-200;
N940CA;1994;CL-600-2B19;
N940DL;1989;MD-88;
N940FR;;A319-111;
N940UW;1995;757-2B7;
N941CA;1994;CL-600-2B19;
N941DL;1989;MD-88;
N941FR;2005;A319-112;
N941MQ;;;
N941SW;2003;CL-600-2B19;
N941UA;1992;737-522;
N941UW;1995;757-2B7;
N942AT;1999;717-200;
N942DL;1989;MD-88;
N942FR;2005;A319-111;
N942LR;2005;CL600-2D24;
N942MQ;;;
N942UA;1992;737-522;
N942UW;1995;757-2B7;
N943AT;1999;717-200;
N943DL;1989;MD-88;
N943FR;2005;A319-112;
N943SW;2003;CL-600-2B19;
N944AT;1999;717-200;
N944DL;1989;MD-88;
N944SW;2003;CL-600-2B19;
N944UW;2006;ERJ 190-100 IGW;
N945AT;1999;717-200;
N945DL;1989;MD-88;
N945FR;2006;A319-111;
N945N;1975;DC-9-32;
N945SW;2003;CL-600-2B19;
N945UW;;ERJ 190-100 IGW;
N946AT;1999;717-200;
N946DL;1989;MD-88;
N946FR;2006;A319-111;
N946SW;2003;CL-600-2B19;
N946UW;2007;ERJ 190-100 IGW;
N947AT;1999;717-200;
N947DL;1989;MD-88;
N947FR;2006;A319-111;
