matricula(tailNum);agnoFabricacion(planeYear);modelo(model);
N202UW;1995;757-2B7;
N202WN;2005;737-7H4;
N203JB;2006;ERJ 190-100 IGW;
N203UA;1990;737-322;
N203UW;2000;757-23N;
N203WN;2005;737-7H4;
N204UW;2000;757-23N;
N204WN;2005;737-7H4;
N205UW;2000;757-23N;
N205WN;2005;737-7H4;
N206JB;2006;ERJ 190-100 IGW;
N206WN;2005;737-7H4;
N207WN;2005;737-7H4;
N208AA;1983;DC-9-82(MD-82);
N208WN;2005;737-7H4;
N209WN;2005;737-7H4;
N210UA;2000;777-222;
N210WN;2005;737-7H4;
N21108;1994;757-224;
N21129;2003;EMB-145XR;
N21130;2003;EMB-145XR;
N21144;2003;EMB-145XR;
N21154;2003;EMB-145XR;
N21197;2006;EMB-145XR;
N211UA;2000;777-222;
N211WN;2005;737-7H4;
N212UA;2000;777-222;
N212WN;2005;737-7H4;
N213WN;2005;737-7H4;
N214AA;1983;DC-9-82(MD-82);
N214UA;2000;777-222;
N214WN;2005;737-7H4;
N21537;2001;EMB-145LR;
N215UA;2000;777-222;
N215WN;2005;737-7H4;
N216JB;2006;ERJ 190-100 IGW;
N216SW;1993;EMB-120;
N216WR;2005;737-7H4;
N21723;1999;737-724;
N217JC;2005;737-7H4;
N217SW;1993;EMB-120ER;
N218SW;1994;EMB-120ER;
N218WN;2005;737-7H4;
N219AA;1983;DC-9-82(MD-82);
N219UA;2001;777-222;
N219WN;2005;737-7H4;
N220SW;1994;EMB-120ER;
N220WN;2005;737-7H4;
N221SW;1994;EMB-120ER;
N221WN;2005;737-7H4;
N222WN;2005;737-7H4;
N223AA;1983;DC-9-82(MD-82);
N223SW;1995;EMB-120ER;
N223UA;2001;777-222;
N223WN;2005;737-7H4;
N224SW;1995;EMB-120ER;
N224WN;2005;737-7H4;
N225WN;2005;737-7H4;
N226SW;1995;EMB-120ER;
N226WN;2005;737-7H4;
N227AA;1983;DC-9-82(MD-82);
N227WN;2005;737-7H4;
N228UA;2002;777-222;
N228WN;2005;737-7H4;
N22971;1999;EMB-145LR;
N229JB;2006;ERJ 190-100 IGW;
N229WN;2006;737-7H4;
N230WN;2006;737-7H4;
N23139;2003;EMB-145XR;
N231JB;2006;ERJ 190-100 IGW;
N231WN;2006;737-7H4;
N232AA;1983;DC-9-82(MD-82);
N232SW;1995;EMB-120ER;
N232WN;2006;737-7H4;
N233AA;1983;DC-9-82(MD-82);
N233LV;2006;737-7H4;
N233SW;1995;EMB-120ER;
N234AA;1983;DC-9-82(MD-82);
N234SW;1996;EMB-120ER;
N234WN;2006;737-7H4;
N235SW;;EMB-120ER;
N235WN;2006;737-7H4;
N236AA;1984;DC-9-82(MD-82);
N236JB;2006;ERJ 190-100 IGW;
N236SW;1996;EMB-120ER;
N236WN;2006;737-7H4;
N23707;1998;737-724;
N23708;1998;737-724;
