numeroVuelo(flightNum);fecha(flightDate);horaSalida(crsDepTime);horaLlegada(crsArrTime);aeropuertoSalida(originiata);aeropuertoLlegada(destinata);compagnia(carrierCode);avion(tailNum);
86;26/10/2008;1300;1510;DFW;ORD;AA;N7ARAA;
86;27/10/2008;1300;1510;DFW;ORD;AA;N7BTAA;
102;25/10/2008;1935;755;HNL;DFW;AA;N348AA;
102;26/10/2008;1935;755;HNL;DFW;AA;N342AA;
102;27/10/2008;1935;755;HNL;DFW;AA;N399AA;
114;25/10/2008;850;1710;LAX;EWR;AA;N5EVAA;
114;26/10/2008;850;1710;LAX;EWR;AA;N5EWAA;
114;27/10/2008;850;1710;LAX;EWR;AA;N5DFAA;
117;25/10/2008;1430;1725;JFK;LAX;AA;N328AA;
117;26/10/2008;1430;1725;JFK;LAX;AA;N324AA;
117;27/10/2008;1430;1725;JFK;LAX;AA;N322AA;
118;25/10/2008;700;1520;LAX;JFK;AA;N322AA;
118;26/10/2008;700;1520;LAX;JFK;AA;N325AA;
118;27/10/2008;700;1520;LAX;JFK;AA;N339AA;
119;25/10/2008;1830;2145;EWR;LAX;AA;N5EVAA;
119;26/10/2008;1830;2145;EWR;LAX;AA;N5EWAA;
119;27/10/2008;1830;2145;EWR;LAX;AA;N5DFAA;
123;25/10/2008;1140;1445;DFW;HNL;AA;N382AA;
123;26/10/2008;1140;1445;DFW;HNL;AA;N342AA;
123;27/10/2008;1140;1445;DFW;HNL;AA;N342AA;
127;25/10/2008;1550;1830;JFK;SAN;AA;N398AA;
127;26/10/2008;1559;1839;JFK;SAN;AA;N356AA;
127;27/10/2008;1559;1839;JFK;SAN;AA;N372AA;
133;25/10/2008;1600;1905;JFK;LAX;AA;N336AA;
133;26/10/2008;1600;1905;JFK;LAX;AA;N322AA;
133;27/10/2008;1600;1905;JFK;LAX;AA;N329AA;
144;25/10/2008;1555;2340;LAX;IAD;AA;N3DCAA;
144;26/10/2008;1555;2340;LAX;IAD;AA;N3DHAA;
144;27/10/2008;1555;2340;LAX;IAD;AA;N3BMAA;
145;25/10/2008;1650;2010;BOS;LAX;AA;N354AA;
145;26/10/2008;1650;2010;BOS;LAX;AA;N354AA;
145;27/10/2008;1650;2010;BOS;LAX;AA;N377AA;
149;25/10/2008;850;1125;IAD;LAX;AA;N3CYAA;
150;25/10/2008;2320;750;SFO;BOS;AA;N5ELAA;
150;26/10/2008;2320;750;SFO;BOS;AA;N621AA;
150;27/10/2008;2320;750;SFO;BOS;AA;N5CSAA;
154;25/10/2008;1745;2105;ORD;BOS;AA;N4YNAA;
154;26/10/2008;1745;2105;ORD;BOS;AA;N592AA;
154;27/10/2008;1745;2105;ORD;BOS;AA;N565AA;
160;25/10/2008;755;1620;SAN;JFK;AA;N384AA;
160;26/10/2008;755;1620;SAN;JFK;AA;N398AA;
160;27/10/2008;755;1620;SAN;JFK;AA;N356AA;
162;25/10/2008;1305;2135;HNL;LAX;AA;N5ECAA;
162;26/10/2008;1305;2135;HNL;LAX;AA;N5DFAA;
162;27/10/2008;1305;2135;HNL;LAX;AA;N5FDAA;
177;25/10/2008;1725;2050;JFK;SFO;AA;N322AA;
177;26/10/2008;1725;2050;JFK;SFO;AA;N325AA;
177;27/10/2008;1725;2050;JFK;SFO;AA;N339AA;
178;25/10/2008;1340;2215;SFO;JFK;AA;N338AA;
178;26/10/2008;1340;2215;SFO;JFK;AA;N332AA;
178;27/10/2008;1340;2215;SFO;JFK;AA;N325AA;
179;25/10/2008;900;1220;JFK;SFO;AA;N338AA;
179;26/10/2008;900;1220;JFK;SFO;AA;N332AA;
179;27/10/2008;900;1220;JFK;SFO;AA;N325AA;
180;25/10/2008;1640;55;LAX;JFK;AA;N332AA;
180;26/10/2008;1640;55;LAX;JFK;AA;N329AA;
180;27/10/2008;1640;55;LAX;JFK;AA;N328AA;
181;26/10/2008;1745;2100;JFK;LAX;AA;N327AA;
181;27/10/2008;1745;2100;JFK;LAX;AA;N319AA;
