flightNum;cancelled;cancellationName;diverted;div1airport;div2airport;compania;carrierDelay;tiempo;weatherDelay;NAS;nasDelay;seguridad;securityDelay;previo;lateAircraftDelay;desvio;divArrDelay;idIncidencia
582;0;;0;;;compania;136;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;247
585;0;;0;;;compania;0;tiempo;0;NAS;45;seguridad;0;previo;0;desvio;0;248
596;0;;0;;;compania;0;tiempo;0;NAS;25;seguridad;0;previo;0;desvio;0;249
601;0;;0;;;compania;0;tiempo;0;NAS;15;seguridad;0;previo;0;desvio;0;250
606;0;;0;;;compania;0;tiempo;14;NAS;0;seguridad;0;previo;0;desvio;0;251
606;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;46;desvio;0;252
607;0;;0;;;compania;0;tiempo;0;NAS;7;seguridad;0;previo;0;desvio;0;253
607;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;88;desvio;0;254
611;0;;0;;;compania;52;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;255
623;0;;0;;;compania;4;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;256
623;0;;0;;;compania;0;tiempo;0;NAS;1;seguridad;0;previo;0;desvio;0;257
623;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;19;desvio;0;258
626;0;;0;;;compania;40;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;259
627;0;;0;;;compania;31;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;260
627;0;;0;;;compania;0;tiempo;0;NAS;4;seguridad;0;previo;0;desvio;0;261
635;0;;0;;;compania;0;tiempo;0;NAS;26;seguridad;0;previo;0;desvio;0;262
644;0;;0;;;compania;78;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;263
644;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;9;desvio;0;264
658;0;;0;;;compania;0;tiempo;0;NAS;19;seguridad;0;previo;0;desvio;0;265
661;0;;0;;;compania;39;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;266
662;0;;0;;;compania;12;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;267
662;0;;0;;;compania;0;tiempo;0;NAS;15;seguridad;0;previo;0;desvio;0;268
668;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;32;desvio;0;269
671;0;;0;;;compania;6;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;270
671;0;;0;;;compania;0;tiempo;0;NAS;10;seguridad;0;previo;0;desvio;0;271
672;0;;0;;;compania;37;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;272
673;0;;0;;;compania;19;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;273

675;0;;0;;;compania;0;tiempo;0;NAS;3;seguridad;0;previo;0;desvio;0;275
675;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;15;desvio;0;276
685;0;;0;;;compania;6;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;277
685;0;;0;;;compania;0;tiempo;0;NAS;9;seguridad;0;previo;0;desvio;0;278
689;0;;0;;;compania;238;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;279
689;0;;0;;;compania;0;tiempo;0;NAS;5;seguridad;0;previo;0;desvio;0;280
