flightNum;cancelled;cancellationName;diverted;div1airport;div2airport;compania;carrierDelay;tiempo;weatherDelay;NAS;nasDelay;seguridad;securityDelay;previo;lateAircraftDelay;desvio;divArrDelay;
733;0;;0;;;compania;12;tiempo;0;NAS;10;seguridad;0;previo;41;desvio;;
735;0;;0;;;compania;12;tiempo;0;NAS;6;seguridad;0;previo;0;desvio;;
736;0;;0;;;compania;46;tiempo;0;NAS;10;seguridad;0;previo;0;desvio;;
743;0;;0;;;compania;0;tiempo;0;NAS;26;seguridad;0;previo;0;desvio;;
745;0;;0;;;compania;0;tiempo;0;NAS;15;seguridad;0;previo;0;desvio;;
746;0;;0;;;compania;0;tiempo;0;NAS;22;seguridad;0;previo;12;desvio;;
751;0;;0;;;compania;11;tiempo;0;NAS;24;seguridad;0;previo;0;desvio;;
757;1;Carrier;0;;;compania;;tiempo;;NAS;;seguridad;;previo;;desvio;;
766;0;;0;;;compania;25;tiempo;0;NAS;2;seguridad;0;previo;0;desvio;;
774;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;37;desvio;;
782;0;;0;;;compania;20;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
783;0;;0;;;compania;73;tiempo;0;NAS;5;seguridad;0;previo;0;desvio;;
791;0;;0;;;compania;0;tiempo;0;NAS;59;seguridad;0;previo;0;desvio;;
797;0;;0;;;compania;8;tiempo;0;NAS;10;seguridad;0;previo;0;desvio;;
799;0;;0;;;compania;0;tiempo;1;NAS;14;seguridad;0;previo;93;desvio;;
800;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;62;desvio;;
813;0;;0;;;compania;0;tiempo;0;NAS;28;seguridad;0;previo;6;desvio;;
814;0;;0;;;compania;0;tiempo;0;NAS;3;seguridad;0;previo;52;desvio;;
816;0;;0;;;compania;44;tiempo;0;NAS;10;seguridad;0;previo;0;desvio;;
823;0;;0;;;compania;8;tiempo;0;NAS;7;seguridad;0;previo;0;desvio;;
830;0;;0;;;compania;0;tiempo;9;NAS;0;seguridad;0;previo;90;desvio;;
833;0;;0;;;compania;0;tiempo;23;NAS;99;seguridad;0;previo;0;desvio;;
838;0;;0;;;compania;0;tiempo;0;NAS;56;seguridad;0;previo;0;desvio;;
839;0;;0;;;compania;30;tiempo;0;NAS;214;seguridad;0;previo;0;desvio;;
841;0;;0;;;compania;0;tiempo;0;NAS;2;seguridad;0;previo;41;desvio;;
844;0;;0;;;compania;0;tiempo;0;NAS;35;seguridad;0;previo;0;desvio;;
877;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;41;desvio;;
893;0;;0;;;compania;57;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
895;0;;0;;;compania;105;tiempo;0;NAS;11;seguridad;0;previo;0;desvio;;
907;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;28;desvio;;
913;0;;0;;;compania;25;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
915;0;;0;;;compania;0;tiempo;0;NAS;24;seguridad;0;previo;0;desvio;;
916;0;;0;;;compania;0;tiempo;0;NAS;42;seguridad;0;previo;0;desvio;;
920;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;20;desvio;;
923;0;;0;;;compania;11;tiempo;0;NAS;11;seguridad;0;previo;5;desvio;;
926;0;;0;;;compania;8;tiempo;0;NAS;10;seguridad;0;previo;15;desvio;;
928;0;;0;;;compania;36;tiempo;0;NAS;2;seguridad;0;previo;0;desvio;;
929;0;;0;;;compania;9;tiempo;0;NAS;0;seguridad;0;previo;59;desvio;;
943;0;;0;;;compania;203;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
948;0;;0;;;compania;44;tiempo;0;NAS;0;seguridad;0;previo;65;desvio;;
952;0;;0;;;compania;0;tiempo;0;NAS;7;seguridad;0;previo;14;desvio;;
953;0;;0;;;compania;0;tiempo;0;NAS;11;seguridad;0;previo;30;desvio;;
956;0;;0;;;compania;57;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
960;0;;0;;;compania;0;tiempo;0;NAS;15;seguridad;0;previo;0;desvio;;
962;0;;0;;;compania;0;tiempo;0;NAS;27;seguridad;0;previo;0;desvio;;
963;0;;0;;;compania;0;tiempo;0;NAS;60;seguridad;0;previo;0;desvio;;
966;0;;0;;;compania;0;tiempo;0;NAS;7;seguridad;0;previo;51;desvio;;
971;0;;0;;;compania;0;tiempo;0;NAS;35;seguridad;0;previo;0;desvio;;
975;0;;0;;;compania;0;tiempo;0;NAS;22;seguridad;0;previo;0;desvio;;
976;0;;0;;;compania;0;tiempo;0;NAS;83;seguridad;0;previo;0;desvio;;
977;0;;0;;;compania;0;tiempo;0;NAS;94;seguridad;0;previo;0;desvio;;
987;0;;0;;;compania;0;tiempo;0;NAS;21;seguridad;0;previo;0;desvio;;
989;0;;0;;;compania;0;tiempo;0;NAS;18;seguridad;0;previo;0;desvio;;
993;0;;0;;;compania;8;tiempo;0;NAS;0;seguridad;0;previo;45;desvio;;
996;0;;0;;;compania;0;tiempo;0;NAS;37;seguridad;0;previo;0;desvio;;
999;0;;0;;;compania;20;tiempo;0;NAS;1;seguridad;0;previo;0;desvio;;
1004;0;;0;;;compania;61;tiempo;0;NAS;4;seguridad;0;previo;0;desvio;;
1012;0;;0;;;compania;0;tiempo;4;NAS;0;seguridad;0;previo;94;desvio;;
