idVuelo;cancelled;cancellationName;diverted;div1airport;div2airport;compania;carrierDelay;tiempo;weatherDelay;NAS;nasDelay;seguridad;securityDelay;previo;lateAircraftDelay;
607;0;;0;;;compania;0;tiempo;0;NAS;7;seguridad;0;previo;0;
607;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;88;
611;0;;0;;;compania;52;tiempo;0;NAS;0;seguridad;0;previo;0;
623;0;;0;;;compania;4;tiempo;0;NAS;0;seguridad;0;previo;0;
623;0;;0;;;compania;0;tiempo;0;NAS;1;seguridad;0;previo;0;
623;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;19;
626;0;;0;;;compania;40;tiempo;0;NAS;0;seguridad;0;previo;0;
627;0;;0;;;compania;31;tiempo;0;NAS;0;seguridad;0;previo;0;
627;0;;0;;;compania;0;tiempo;0;NAS;4;seguridad;0;previo;0;
635;0;;0;;;compania;0;tiempo;0;NAS;26;seguridad;0;previo;0;
644;0;;0;;;compania;78;tiempo;0;NAS;0;seguridad;0;previo;0;
644;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;9;
658;0;;0;;;compania;0;tiempo;0;NAS;19;seguridad;0;previo;0;
661;0;;0;;;compania;39;tiempo;0;NAS;0;seguridad;0;previo;0;
662;0;;0;;;compania;12;tiempo;0;NAS;0;seguridad;0;previo;0;
662;0;;0;;;compania;0;tiempo;0;NAS;15;seguridad;0;previo;0;
668;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;32;
671;0;;0;;;compania;6;tiempo;0;NAS;0;seguridad;0;previo;0;
671;0;;0;;;compania;0;tiempo;0;NAS;10;seguridad;0;previo;0;
672;0;;0;;;compania;37;tiempo;0;NAS;0;seguridad;0;previo;0;
673;0;;0;;;compania;19;tiempo;0;NAS;0;seguridad;0;previo;0;
674;1;Carrier;0;ORD;;compania;;tiempo;;NAS;;seguridad;;previo;;
675;0;;0;;;compania;0;tiempo;0;NAS;3;seguridad;0;previo;0;
675;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;15;
685;0;;0;;;compania;6;tiempo;0;NAS;0;seguridad;0;previo;0;
685;0;;0;;;compania;0;tiempo;0;NAS;9;seguridad;0;previo;0;
689;0;;0;;;compania;238;tiempo;0;NAS;0;seguridad;0;previo;0;
689;0;;0;;;compania;0;tiempo;0;NAS;5;seguridad;0;previo;0;
692;0;;0;;;compania;0;tiempo;12;NAS;0;seguridad;0;previo;0;
692;0;;0;;;compania;0;tiempo;0;NAS;5;seguridad;0;previo;0;
703;0;;0;;;compania;0;tiempo;0;NAS;23;seguridad;0;previo;0;
704;0;;0;;;compania;0;tiempo;0;NAS;78;seguridad;0;previo;0;
707;0;;0;;;compania;39;tiempo;0;NAS;0;seguridad;0;previo;0;
707;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;5;
708;0;;0;;;compania;18;tiempo;0;NAS;0;seguridad;0;previo;0;
708;0;;0;;;compania;0;tiempo;0;NAS;24;seguridad;0;previo;0;
708;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;12;
709;1;Carrier;0;;;compania;;tiempo;;NAS;;seguridad;;previo;;
715;0;;0;;;compania;25;tiempo;0;NAS;0;seguridad;0;previo;0;
715;0;;0;;;compania;0;tiempo;0;NAS;1;seguridad;0;previo;0;
719;0;;0;;;compania;9;tiempo;0;NAS;0;seguridad;0;previo;0;
719;0;;0;;;compania;0;tiempo;0;NAS;14;seguridad;0;previo;0;
723;0;;0;;;compania;31;tiempo;0;NAS;0;seguridad;0;previo;0;
727;0;;0;;;compania;0;tiempo;7;NAS;0;seguridad;0;previo;0;
727;0;;0;;;compania;0;tiempo;0;NAS;2;seguridad;0;previo;0;
727;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;35;
728;0;;0;;;compania;54;tiempo;0;NAS;0;seguridad;0;previo;0;
728;0;;0;;;compania;0;tiempo;0;NAS;2;seguridad;0;previo;0;
728;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;24;
732;0;;0;;;compania;17;tiempo;0;NAS;0;seguridad;0;previo;0;
732;0;;0;;;compania;0;tiempo;0;NAS;10;seguridad;0;previo;0;
732;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;3;
733;0;;0;;;compania;12;tiempo;0;NAS;0;seguridad;0;previo;0;
733;0;;0;;;compania;0;tiempo;0;NAS;10;seguridad;0;previo;0;
733;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;41;
735;0;;0;;;compania;12;tiempo;0;NAS;0;seguridad;0;previo;0;
735;0;;0;;;compania;0;tiempo;0;NAS;6;seguridad;0;previo;0;
736;0;;0;;;compania;46;tiempo;0;NAS;0;seguridad;0;previo;0;
736;0;;0;;;compania;0;tiempo;0;NAS;10;seguridad;0;previo;0;
